Theme	Theme definition	Sub-theme	What it means	Consequence (leads to next theme)
Medication as Distributed Family Work	Older adults take their own medicine and know it by strip, colour, place, and meal, not by name. The names, the paper, the buying, and the doctor's words sit with a son, daughter, or spouse, and they call this sensible rather than a loss. Reminding belongs to whoever is present, a family question settles a doubt, and being checked is received as care with one limit: not to be watched all the time. Friends' talk is heard; only the doctor changes a medicine. A few manage entirely alone.	Retained Autonomy in Taking, Delegated Knowledge to Kin	Swallowing the tablet is the older adult's own act and nobody hands it to them. The long names, the prescription, the pharmacy trip, and what the doctor said are handed to a child or spouse, and this is described as sensible and easing, not as dependence.	This arrangement works by presence and habit. When the routine breaks or nobody is near, the dose is lost and, as the next theme shows, no tool or paper the older adult can use catches it.
Medication as Distributed Family Work	Older adults take their own medicine and know it by strip, colour, place, and meal, not by name. The names, the paper, the buying, and the doctor's words sit with a son, daughter, or spouse, and they call this sensible rather than a loss. Reminding belongs to whoever is present, a family question settles a doubt, and being checked is received as care with one limit: not to be watched all the time. Friends' talk is heard; only the doctor changes a medicine. A few manage entirely alone.	Recognition by Strip, Place, and Meal Rather Than Name	Recognition replaces reading. Medicines are known by colour and foil, kept in one fixed spot, and tied to tea, breakfast, or dinner. This is the older adult's own system and it works every ordinary day.	This arrangement works by presence and habit. When the routine breaks or nobody is near, the dose is lost and, as the next theme shows, no tool or paper the older adult can use catches it.
Medication as Distributed Family Work	Older adults take their own medicine and know it by strip, colour, place, and meal, not by name. The names, the paper, the buying, and the doctor's words sit with a son, daughter, or spouse, and they call this sensible rather than a loss. Reminding belongs to whoever is present, a family question settles a doubt, and being checked is received as care with one limit: not to be watched all the time. Friends' talk is heard; only the doctor changes a medicine. A few manage entirely alone.	Shared Reminding and the Family Question as Verification	Reminding is not one person's job: a spouse at home, a child who calls, a daughter-in-law who notices, a friend who takes his own tablet. Because older adults are often unsure whether they took a dose, a family question is what restores it, and the rule is to ask rather than take two.	This arrangement works by presence and habit. When the routine breaks or nobody is near, the dose is lost and, as the next theme shows, no tool or paper the older adult can use catches it.
Medication as Distributed Family Work	Older adults take their own medicine and know it by strip, colour, place, and meal, not by name. The names, the paper, the buying, and the doctor's words sit with a son, daughter, or spouse, and they call this sensible rather than a loss. Reminding belongs to whoever is present, a family question settles a doubt, and being checked is received as care with one limit: not to be watched all the time. Friends' talk is heard; only the doctor changes a medicine. A few manage entirely alone.	Checking as Care, Surveillance as Its Limit	A son's or daughter's question is received as safety and help, with an admitted edge of irritation when it is constant. The line is drawn at surveillance: tell me if I miss, do not watch me every dose. Checking is welcome because of who does it and how often.	This arrangement works by presence and habit. When the routine breaks or nobody is near, the dose is lost and, as the next theme shows, no tool or paper the older adult can use catches it.
Medication as Distributed Family Work	Older adults take their own medicine and know it by strip, colour, place, and meal, not by name. The names, the paper, the buying, and the doctor's words sit with a son, daughter, or spouse, and they call this sensible rather than a loss. Reminding belongs to whoever is present, a family question settles a doubt, and being checked is received as care with one limit: not to be watched all the time. Friends' talk is heard; only the doctor changes a medicine. A few manage entirely alone.	Peer Experience as Advice, the Doctor as Authority	Tea shops, walks, and gatherings are full of medicine talk, and agreement among many people makes a medicine feel trustworthy. Older adults listen, take the name to a child or the doctor, and never change on their own.	This arrangement works by presence and habit. When the routine breaks or nobody is near, the dose is lost and, as the next theme shows, no tool or paper the older adult can use catches it.
Medication as Distributed Family Work	Older adults take their own medicine and know it by strip, colour, place, and meal, not by name. The names, the paper, the buying, and the doctor's words sit with a son, daughter, or spouse, and they call this sensible rather than a loss. Reminding belongs to whoever is present, a family question settles a doubt, and being checked is received as care with one limit: not to be watched all the time. Friends' talk is heard; only the doctor changes a medicine. A few manage entirely alone.	Counter-Case: Independent Self-Managers	Three men and one woman manage many medicines from memory, the written prescription, or their own notes, miss doses only when stock runs out, and say they need no tool. They bound the family system and the reminder's reach.	This arrangement works by presence and habit. When the routine breaks or nobody is near, the dose is lost and, as the next theme shows, no tool or paper the older adult can use catches it.
Routine Breakdown and the Inaccessibility of Existing Aids	Doses slip when guests, work, or travel change the day, and the miss is caught only if someone is near; when the family is busy or away nobody asks. The tools offered so far do not reach them: a phone alarm set by a child rings without saying why and is abandoned, an app is too many steps, a button phone has two keys they know. Prescriptions are small print and handwriting the pharmacy reads for them; a new packet is not recognised; a strip runs out and they cannot go to buy. The frustration is dependence at exactly the moments nobody is there.	Time Slipping Outside the Home Routine	Nobody describes forgetting as a failing mind. At home, with the strip in front of them and the family around, the routine carries itself; away from it, in talk, travel, or work without fixed hours, the time goes. On trips the medicine itself is left behind.	Each of these barriers names what a phone would have to do instead: speak, show, ring again, reach them outside, read the paper, and watch the stock. The next theme carries those wants.
Routine Breakdown and the Inaccessibility of Existing Aids	Doses slip when guests, work, or travel change the day, and the miss is caught only if someone is near; when the family is busy or away nobody asks. The tools offered so far do not reach them: a phone alarm set by a child rings without saying why and is abandoned, an app is too many steps, a button phone has two keys they know. Prescriptions are small print and handwriting the pharmacy reads for them; a new packet is not recognised; a strip runs out and they cannot go to buy. The frustration is dependence at exactly the moments nobody is there.	Absent or Occupied Family and Unwanted Dependence	The family check is the repair, and it fails when the family is not there or is occupied at the same moment. Children work, a husband is out, a house full of guests is busy; the older adult remembers late, or not at all. They also do not want to depend on family for every small thing.	Each of these barriers names what a phone would have to do instead: speak, show, ring again, reach them outside, read the paper, and watch the stock. The next theme carries those wants.
Routine Breakdown and the Inaccessibility of Existing Aids	Doses slip when guests, work, or travel change the day, and the miss is caught only if someone is near; when the family is busy or away nobody asks. The tools offered so far do not reach them: a phone alarm set by a child rings without saying why and is abandoned, an app is too many steps, a button phone has two keys they know. Prescriptions are small print and handwriting the pharmacy reads for them; a new packet is not recognised; a strip runs out and they cannot go to buy. The frustration is dependence at exactly the moments nobody is there.	Meaningless Alarms and Unusable Apps	A phone alarm set by a child rings without naming the medicine and is switched off or ignored; the one woman who uses an alarm daily hears it, defers, and forgets. Smartphones serve calls, WhatsApp, and videos; an app with many steps leaves them pressing the wrong thing, and button-phone users know only the green and red keys. Nobody has set up anything for medicine because nobody knew how.	Each of these barriers names what a phone would have to do instead: speak, show, ring again, reach them outside, read the paper, and watch the stock. The next theme carries those wants.
Routine Breakdown and the Inaccessibility of Existing Aids	Doses slip when guests, work, or travel change the day, and the miss is caught only if someone is near; when the family is busy or away nobody asks. The tools offered so far do not reach them: a phone alarm set by a child rings without saying why and is abandoned, an app is too many steps, a button phone has two keys they know. Prescriptions are small print and handwriting the pharmacy reads for them; a new packet is not recognised; a strip runs out and they cannot go to buy. The frustration is dependence at exactly the moments nobody is there.	Unreadable Prescriptions and Unrecognised Packets	Even literate participants cannot read prescriptions without glasses and the handwriting defeats most; the paper goes to the pharmacy, which reads it and hands over the medicine. A different brand changes the packet and they no longer know if it is theirs; a changed prescription leaves old and new strips side by side. The document that defines the regimen is one they cannot consult.	Each of these barriers names what a phone would have to do instead: speak, show, ring again, reach them outside, read the paper, and watch the stock. The next theme carries those wants.
Routine Breakdown and the Inaccessibility of Existing Aids	Doses slip when guests, work, or travel change the day, and the miss is caught only if someone is near; when the family is busy or away nobody asks. The tools offered so far do not reach them: a phone alarm set by a child rings without saying why and is abandoned, an app is too many steps, a button phone has two keys they know. Prescriptions are small print and handwriting the pharmacy reads for them; a new packet is not recognised; a strip runs out and they cannot go to buy. The frustration is dependence at exactly the moments nobody is there.	Supply Failure and Dependence on Others to Buy	Nobody counts tablets; a strip finishes and the market is far. The older adult waits for a child or a neighbour going to market, and doses are missed not from forgetting but from supply.	Each of these barriers names what a phone would have to do instead: speak, show, ring again, reach them outside, read the paper, and watch the stock. The next theme carries those wants.
