Theme	Organizing concept	Sub-theme	Older adult perspective	Caregiver perspective	AI opportunity	Challenge and boundary	Source role themes	RQ and contribution
The agent supports routines while people retain care	Participants valued the agent when it fitted around existing routines, carried timing, and allowed people to retain contextual care and medication action.	Reminders support routines when familiar cues recede	Older adults described reminders as extra help during travel, work, gatherings, or changed routines, while keeping notes and habits as fallback.	Caregivers described less clock watching and routine questioning, but retained responsibility for checking, decisions, supply, and recovery.	Current opportunity: carry regular timing and let caregivers focus on events that remain unresolved.	Interview accounts cannot establish adherence or workload outcomes, and scheduled reminders cannot interpret every household or bodily situation.	Participants: The agent helps when it supports routines and shows uncertainty. Caregivers: Caregivers accept agent coordination that remains selective and accountable.	RQ2 and RQ3; prototype performance and legitimate tool role; C2 and C3
The agent supports routines while people retain care	Participants valued the agent when it fitted around existing routines, carried timing, and allowed people to retain contextual care and medication action.	Simple interaction distributes care work without taking over	Older adults wanted Bangla speech, large text, familiar images, and few controls; relatives could configure the tool while older adults still acted.	Caregivers wanted stable setup and selective alerts that removed coordination work rather than creating another maintenance task.	Current and future opportunity: combine direct older adult interaction with optional family help for setup, verification, and medicine supply.	Accessibility needs differ; stock sensing and prescription capture were not deployed, and captured instructions would still need human verification.	Participants: Care tasks are divided while older adults stay involved; The agent helps when it supports routines and shows uncertainty. Caregivers: Caregivers accept agent coordination that remains selective and accountable.	RQ2 and RQ3; accessible participation and future implementation; C2 and C3
Older adults control when the agent involves family	The agent's allegiance was acceptable when household roles determined the first prompt and older adults could see, limit, or reverse family involvement.	Existing care roles determine the first prompt	Older adults expected the first opportunity to respond when they managed their own dose.	Caregivers expected the prompt to begin with whoever already performed the medication task, including a caregiver who administered medicine.	Current opportunity: combine spoken allegiance with configured routing that reflects the household's actual division of care.	Older adult first is not a universal rule, and the missing pairing map prevents household by household comparison.	Participants: Older adults accept family involvement when they stay in control. Caregivers: Caregivers accept agent coordination that remains selective and accountable.	RQ2 and RQ3; direction and visibility; C2 and C3
Older adults control when the agent involves family	The agent's allegiance was acceptable when household roles determined the first prompt and older adults could see, limit, or reverse family involvement.	Permission and limits keep handoffs reversible	Older adults wanted retry, time to respond, one chosen relative, ordinary reminders kept local, and the ability to stop family alerts.	Caregivers accepted backup involvement when the medicine taker agreed and when access remained limited to medication.	Current opportunity: make each handoff visible, selective, explainable, and open to refusal or later withdrawal.	Continuous updates can become intrusive; risk graded weakening of refusal was described rather than deployed.	Participants: Older adults accept family involvement when they stay in control. Caregivers: Caregivers accept agent coordination that remains selective and accountable.	RQ2 and RQ3; revocability and ceremony; C2 and C3
Caregivers act on uncertain exceptions, not automatic judgments	Because confirmation could not establish ingestion, both groups required human inquiry and familiar records before caregivers acted on an alert.	Nonconfirmation prompts a question rather than a verdict	Older adults could take medicine without pressing the button, and silence could reflect work, travel, conversation, delay, or an unheard prompt.	Caregivers treated nonconfirmation as a reason to ask what happened; false or unexplained alerts spread worry and weakened attention.	Current opportunity: present nonconfirmation as an unresolved event and explain why caregiver attention is requested.	The prototype cannot observe ingestion, and false alerts can recreate the vigilance that selective notification was meant to reduce.	Participants: The agent helps when it supports routines and shows uncertainty. Caregivers: Caregivers accept agent coordination that remains selective and accountable.	RQ2 and RQ3; prototype weakness, contestation, and accountable escalation; C2 and C3
Caregivers act on uncertain exceptions, not automatic judgments	Because confirmation could not establish ingestion, both groups required human inquiry and familiar records before caregivers acted on an alert.	People verify the agent before relying on it	Older adults compared prompts with prescriptions and familiar routines, refused suspect instructions, and kept earlier practices available.	Caregivers checked names and timing, reduced checking after repeated correctness, and reopened verification after change, error, or maintenance burden.	Current opportunity: support visible checking, correction, and withdrawal around each authorized medication routine.	The agent cannot prescribe, authorize medication changes, or establish ingestion; no logs show the frequency or accuracy of alerts.	Participants: Older adults accept family involvement when they stay in control; The agent helps when it supports routines and shows uncertainty. Caregivers: Caregivers accept agent coordination that remains selective and accountable.	RQ2 and RQ3; accountable trust and tool and advocate boundaries; C2 and C3
Streaks show care work, while medicine remains primary	Streaks gained meaning as family visible records of care, but neither group treated them as the reason or authority for medicine taking.	Progress makes routine care work visible	Older adults accepted modest family recognition of continued medication work without wanting a public performance.	Caregivers interpreted the streak as recognition of scheduling, prompting, confirming, and checking that can otherwise remain unnoticed.	Current opportunity: use progress traces to acknowledge shared care work within relationships chosen by the older adult.	A streak represents only actions recorded through the prototype, cannot prove ingestion, and may leave other care work invisible.	Participants: Routines and prescriptions matter more than scores and streaks. Caregivers: Caregivers interpret streaks as records of routine care work.	RQ3; caregiver recognition, visibility, and relational trigger; C3
Streaks show care work, while medicine remains primary	Streaks gained meaning as family visible records of care, but neither group treated them as the reason or authority for medicine taking.	Medicine remains separate from game performance	Older adults located motivation in routines and prescriptions; losing a streak could still produce grief or unwanted performance pressure.	Caregivers checked whether medicine or only confirmation was missed and returned attention to the next medication event rather than the score.	Future opportunity: keep streaks optional, quiet, recoverable, and secondary to medication information.	Scores may be unfamiliar; grief, blame, anxiety, competition, or surveillance can make gamification unacceptable.	Participants: Routines and prescriptions matter more than scores and streaks. Caregivers: Caregivers interpret streaks as records of routine care work.	RQ3; dignity, revocability, and coach role boundary; C3
Friends and community support care, while doctors guide medicine	Older adults placed friends and community within the care network for reciprocal support, while preserving medical authority and control over digital sharing.	Older adults give and receive care beyond family	Older adults described reminding friends, receiving reminders, learning through everyday health talk, and judging unfamiliar technology through trusted peers.	Caregiver interviews did not directly probe community participation, so this subtheme remains grounded in older adult accounts.	Future opportunity: support optional mutual reminders and peer assisted learning without casting older adults only as care recipients.	Community functions were not deployed, and much of this evidence was elicited rather than observed in use.	Participants: Friends and community shape care, but doctors decide medicine. Caregivers: no direct community source theme because the guide did not probe it.	RQ2 and RQ3; reciprocal participation and wider care network; C2 and C3
Friends and community support care, while doctors guide medicine	Older adults placed friends and community within the care network for reciprocal support, while preserving medical authority and control over digital sharing.	Community experience prompts questions, not medicine changes	Older adults used peer experiences to form questions, while keeping treatment decisions with doctors and digital visibility under personal control.	Caregiver accounts add a related boundary: access becomes unacceptable when it expands beyond medication information.	Future opportunity: help community knowledge become questions for family, pharmacists, or doctors while keeping sharing optional.	Peer talk can confuse, social trust cannot establish technical accuracy, and conversation does not authorize automatic record sharing.	Participants: Friends and community shape care, but doctors decide medicine. Caregivers: Caregivers accept agent coordination that remains selective and accountable through its medicine only scope.	RQ2 and RQ3; differentiated authority, chosen visibility, and advocate role boundary; C2 and C3
