Code	Definition	Sub-theme	Theme	Example quote	Reflexivity note
Direct response narrows caregiver work	Older adult action lets caregivers reserve attention for unresolved events.	Reminders support routines when familiar cues recede	The agent supports routines while people retain care	"I only check when there is something to check." (C04, Phase 2, L29)	Self report does not establish independent action in every event.
Human reminders carry situated knowledge	Relatives connect medicine with meals, location, work, and bodily circumstances absent from a schedule.	Reminders support routines when familiar cues recede	The agent supports routines while people retain care	"Phone does not know if I have eaten or if I am outside." (P04, Phase 2, L93)	The agent cannot replace contextual knowledge held by people.
Mobility increases reminder value	Portable prompts matter when travel, fieldwork, gatherings, or changed routines remove familiar cues.	Reminders support routines when familiar cues recede	The agent supports routines while people retain care	"At home my wife can tell me. In the field there is nobody asking." (P06, Phase 2, L179)	This is reported usefulness, not an adherence outcome.
Repeated reminders strengthen timing	Repeated reminders can make dose times easier to anticipate without replacing existing routines.	Reminders support routines when familiar cues recede	The agent supports routines while people retain care	"Maybe it has reinforced the timing." (P11, Phase 2, L110)	The leading interview prompt prevents a cognitive improvement claim.
Responsibility persists after automation	People remain responsible for correct medicine, interpretation, supply, and repair.	Reminders support routines when familiar cues recede	The agent supports routines while people retain care	"Less pressure, not less responsibility." (C04, Phase 2, L33)	Caregiver relief does not transfer accountability to the agent.
The agent takes clock watching work	Scheduled reminders reduce the need for caregivers to remember every dose time.	Reminders support routines when familiar cues recede	The agent supports routines while people retain care	"I don't have to remember every medicine time myself." (C03, Phase 2, L33)	Reported relief is not an objective workload measure.
Prescription capture requires verification	Proposed photo capture supports setup only when a person checks the extracted medication instruction.	Simple interaction distributes care work without taking over	The agent supports routines while people retain care	"If there is doubt, we ask the doctor or pharmacy." (P04, Phase 2, L221)	Prescription capture was not implemented.
Proxy setup preserves participation	Relatives may configure schedules while older adults recognize, confirm, question, and take medicine.	Simple interaction distributes care work without taking over	The agent supports routines while people retain care	"My daughter set it up for me. After that, the reminder part was easy." (P05, Phase 2, L7)	Setup help is not treated as nonuse.
Simple prompts support direct action	Clear timing, Bangla speech, large text, medicine images, and few controls support direct response.	Simple interaction distributes care work without taking over	The agent supports routines while people retain care	"Simple one. Big writing, medicine picture, voice reminder, one button to say taken. [...] That's enough." (P04, Phase 2, L257)	Medicine images and selectable reminder modes were not deployed.
Simplicity prevents another caregiving task	Stable setup and selective alerts let the agent remove more coordination work than it creates.	Simple interaction distributes care work without taking over	The agent supports routines while people retain care	"it should help us, not make another job for us." (C04, Phase 2, L233)	Maintainability conditions continued delegation.
Stock alerts route supply work	Proposed low supply notices reach the family member who can obtain medicine.	Simple interaction distributes care work without taking over	The agent supports routines while people retain care	"A reminder before it runs out would help." (C06, Phase 2, L187)	Stock sensing was not deployed.
Taking remains with older adults	Configuration or supply help does not necessarily transfer the medication action.	Simple interaction distributes care work without taking over	The agent supports routines while people retain care	"I don't need someone to put it in my hand. I can take it myself." (P08, Phase 2, L185)	This protects task specific agency.
Reminder routing follows household roles	The first prompt reaches the older adult or caregiver already responsible for the next action.	Existing care roles determine the first prompt	Older adults control when the agent involves family	"Mostly it reminded me, because I am the one managing their medicines." (C05, Phase 2, L17)	Caregiver led dosing prevents a universal older adult first rule.
Spoken allegiance clarifies service	An audible statement makes the agent's current service relationship understandable.	Existing care roles determine the first prompt	Older adults control when the agent involves family	"When it said it is working for me, I understood it better." (P10, Phase 2, L13)	The spoken Bangla service announcement was deployed.
Medicine only scope limits access	Family access becomes unacceptable when it expands beyond medication information.	Permission and limits keep handoffs reversible	Older adults control when the agent involves family	"If it shared private family information that was not about the medicine, that would not be okay." (C05, Phase 2, L177)	This hypothetical boundary limits the agent's mandate.
One responsible relative receives exceptions	An unresolved event goes to one chosen caregiver rather than the whole family.	Permission and limits keep handoffs reversible	Older adults control when the agent involves family	"One family member is enough." (P13, Phase 2, L130)	The missing household map prevents recipient specific claims.
Ordinary reminders remain local	Routine success and small delays do not justify wider family disclosure.	Permission and limits keep handoffs reversible	Older adults control when the agent involves family	"normal medicine reminders should remain with me." (P17, Phase 2, L126)	This refusal prevents collective care from becoming compulsory disclosure.
Permission keeps handoff reversible	The agent asks before involving family, and older adults may decline or stop the handoff.	Permission and limits keep handoffs reversible	Older adults control when the agent involves family	"Then I stopped the family alert because there was no need to worry them." (P10, Phase 2, L31)	Merged request and refusal because together they define a changeable handoff; no logs show its frequency.
Retry and time precede escalation	Another reminder and waiting period should come before contacting family.	Permission and limits keep handoffs reversible	Older adults control when the agent involves family	"First remind them again after some time." (C02, Phase 2, L40)	Risk graded escalation was not implemented.
Alerts must explain the problem	A warning needs the medicine, event, and reason for contacting another person.	Nonconfirmation prompts a question rather than a verdict	Caregivers act on uncertain exceptions, not automatic judgments	"it should also tell me why it is giving the warning" (C07, Phase 2, L36)	This evaluates a described escalation, not deployed risk reasoning.
Confirmation and dosing diverge	Medicine may be taken without a phone confirmation, while confirmation cannot prove ingestion.	Nonconfirmation prompts a question rather than a verdict	Caregivers act on uncertain exceptions, not automatic judgments	"I had actually taken it, I just forgot the phone part." (P05, Phase 2, L19)	Older adult and caregiver accounts both identify this record gap.
False alerts redistribute worry	Incorrect missed dose claims create unnecessary family concern and weaken attention to later alerts.	Nonconfirmation prompts a question rather than a verdict	Caregivers act on uncertain exceptions, not automatic judgments	"everyone would start worrying unnecessarily." (C06, Phase 2, L55)	No logs establish an alert accuracy rate.
Missing records call for checking	No confirmation should prompt a question rather than a missed dose claim.	Nonconfirmation prompts a question rather than a verdict	Caregivers act on uncertain exceptions, not automatic judgments	"the family should check instead of assuming." (P14, Phase 2, L57)	Both roles preserve human interpretation of the event.
Silence has situated causes	Work, conversation, travel, delay, or an unheard prompt can produce no response.	Nonconfirmation prompts a question rather than a verdict	Caregivers act on uncertain exceptions, not automatic judgments	"Silence does not necessarily mean I have forgotten. Sometimes I am simply busy." (P11, Phase 2, L48)	Patterned interpretation of silence was not deployed.
Clinicians retain decisional authority	Doctors or pharmacists clarify changes while the agent represents an existing routine.	People verify the agent before relying on it	Caregivers act on uncertain exceptions, not automatic judgments	"For medicine changes, doctor and family should discuss." (P10, Phase 2, L65)	The agent remains a tool rather than a prescriber.
Error or maintenance burden revokes use	Wrong content, excessive alerts, hidden changes, or repeated upkeep can end reliance.	People verify the agent before relying on it	Caregivers act on uncertain exceptions, not automatic judgments	"if it becomes too much work to maintain, then we probably won't use it." (C04, Phase 2, L193)	This prospective condition shows when delegation ends.
Joint checking calibrates initial reliance	Older adults and caregivers verify names and times before reducing routine checking.	People verify the agent before relying on it	Caregivers act on uncertain exceptions, not automatic judgments	"For some days I still kept the old written information nearby." (C04, Phase 2, L149)	This was lived checking, not the unimplemented probationary mode.
Prescription and medicine strip anchor truth	People compare agent information with prescriptions, packages, notes, and established routines.	People verify the agent before relying on it	Caregivers act on uncertain exceptions, not automatic judgments	"The prescription is the authority for me." (P15, Phase 2, L43)	Both roles place material records above agent output.
Repeated correctness earns routine reliance	Agreement with known schedules allows less checking of stable reminders.	People verify the agent before relying on it	Caregivers act on uncertain exceptions, not automatic judgments	"I don't need to check every time. But for a new medicine I still check." (C03, Phase 2, L153)	Trust remains limited to a verified routine.
Broken streaks require family repair	Streak loss can upset an older adult, while family response redirects attention to the next dose.	Medicine remains separate from game performance	Streaks show care work, while medicine remains primary	"my son said, okay, it happened, take the next one properly." (P10, Phase 2, L79)	Merged grief and repair because the family response shows how metric harm is contained.
Medicine outranks points and streaks	Medicine taking continues for routine and clinical reasons rather than to maintain progress.	Medicine remains separate from game performance	Streaks show care work, while medicine remains primary	"The medicine is the main thing. Score is just extra." (C03, Phase 2, L129)	Older adult and caregiver accounts converge on this boundary.
Performance pressure revokes value	Competition, constant checking, blame, or anxiety makes progress feedback unacceptable.	Medicine remains separate from game performance	Streaks show care work, while medicine remains primary	"If it becomes another performance measure, then no." (P11, Phase 2, L92)	This constrains the coach role.
