Code_ID	Code	Definition	Subtheme	Theme	Analytic_priority	Evidence_status	Example_quote	Example_source	Reflexivity_note	Interview_gap
C01	Caregiver memory is part of the regimen	Caregivers themselves often track schedules through habit and memory, so family support is not an error-free external safety layer.	Care work and reminders circulate through relationships and presence	Medication work is relationally distributed, while agency and authority remain differentiated	Core	Lived caregiver practice	"""I just remember on my own!... it’s just become a habit from taking them and giving them every single day."" (C05, Phase 1, L27)"	C05	This counters an implicit assumption that shifting responsibility to a caregiver necessarily removes memory-related vulnerability.	C05 was not probed on handover, checking, or role origin, so this code concerns her own memory practice only.
C02	Caregiving role accretes	One caregiver described responsibility becoming routine without a formal household decision.	Care work and reminders circulate through relationships and presence	Medication work is relationally distributed, while agency and authority remain differentiated	Supporting	Lived practice / reconstructed episode	"""It mostly just happened. I started helping because they needed it, and then it became my routine."" (C01, Phase 1, L357)"	C01	I demoted the former general theme because only C01 directly supports it.	Directly supported by C01 only; the protocol's role-origin question was not consistently asked, so do not generalize how caregiver roles originate.
C03	Reminding follows presence	Whoever is nearby may remind, so responsibility moves with household presence.	Care work and reminders circulate through relationships and presence	Medication work is relationally distributed, while agency and authority remain differentiated	Core	Lived practice / reconstructed episode	"""Somebody sees. Somebody reminds. Somebody checks. It is like that."""	C03, Phase 1, L61	This is circulation, not evidence that nobody carries primary responsibility.	
C04	Doctor authorizes changes	Families discuss options, but participants reserve medication changes for clinicians.	Knowledge, interpretation, supply, and clinical authority sit with different people	Medication work is relationally distributed, while agency and authority remain differentiated	Core	Lived practice / reconstructed episode	"""It should help us remember and understand. Doctor is still doctor."""	C01, Phase 1, L401	Peer influence does not erase the consistently stated clinical boundary.	
C05	Pharmacist interprets handwriting	Pharmacists translate difficult prescriptions and identify medicines without taking prescribing authority.	Knowledge, interpretation, supply, and clinical authority sit with different people	Medication work is relationally distributed, while agency and authority remain differentiated	Core	Lived practice / reconstructed episode	"""The pharmacist usually understands it."" (C02, Phase 1, L157)"	C02	I retained pharmacists because the care network extends beyond co residents.	
C06	Social testimony shapes medicine confidence	Repeated positive accounts from family, friends, or peers can increase confidence in a medicine while participants still distinguish that influence from clinical authorization.	Knowledge, interpretation, supply, and clinical authority sit with different people	Medication work is relationally distributed, while agency and authority remain differentiated	Supporting	Prompt-heavy hypothetical / contextual	"""If I am with a group and everyone says they take some medicine... I may feel that medicine is more trustworthy."""	C03, Phase 1, L117	The interviews repeatedly prompted group-opinion hypotheticals; retain as contextual evidence but do not make it a headline finding.	Some group-influence questions were leading and repeated; use only to bound trust/authority claims.
C07	Taking remains with older adults	Older adults may retain dosing while kin handle identification, supply, or interpretation.	Older adults preserve practical agency through routine, recognition, and selective independence	Medication work is relationally distributed, while agency and authority remain differentiated	Core	Lived practice / self-positioning	"""They are not completely dependent on me. They can take the medicine."""	C01, Phase 1, L21	I separated taking from knowing to avoid treating distributed work as dependence.	
C08	Checking creates pressure	Caregivers worry when they cannot check while managing other work.	Checking carries care, worry, and relational pressure at the same time	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Core	Lived practice / reconstructed episode	"""If nobody checks then I worry. So it is pressure."" (C03, Phase 1, L49)"	C03	Caregiver accounts may justify oversight, so the older adult boundary remains necessary.	Caregiver worry was not directly probed in most transcripts; avoid frequency claims.
C09	Prior lapse heightens family checking	A concerning missed-dose episode can change a household from assuming self-management to more active reminders and checking.	Checking carries care, worry, and relational pressure at the same time	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Supporting	Reconstructed episode / single-case trajectory	"""Before that we just assumed he will remember... Now I feel maybe we should not depend only on memory."" (C03, Phase 1, L41)"	C03	The reported health episode is temporal context, not proof that the missed dose caused the later symptoms.	Directly supported in C03; do not generalize a universal escalation trajectory from one household.
C10	Distance removes verification	Caregivers away from home cannot observe whether a dose occurred.	Handoffs and distance create uncertainty about what actually happened	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Core	Lived practice / reconstructed episode	"""If I cannot then I just have to trust that she will take it. There is no proper way to know."" (C01, Phase 1, L109)"	C01	This is the caregiver's uncertainty, not evidence that the dose was missed.	
