Theme	Organizing concept	Sub-theme	What it means	Boundary and variation	RQ and contribution
Caregiving coordinates a differentiated care network	Caregivers connect interpretation, supply, reminding, checking, and clinical consultation while older adults may retain taking.	Responsibility follows presence and may settle without a formal decision	Whoever is available may remind or notice a low supply.	Gradual role acquisition is directly supported by one caregiver and is not generalized.	RQ1; C1
Caregiving coordinates a differentiated care network	Caregivers connect interpretation, supply, reminding, checking, and clinical consultation while older adults may retain taking.	Knowledge and authority sit with different people	Caregivers may hold papers and names, pharmacists interpret handwriting, and doctors authorize changes.	Collective decision making is structured rather than interchangeable.	RQ1; C1
Caregiving coordinates a differentiated care network	Caregivers connect interpretation, supply, reminding, checking, and clinical consultation while older adults may retain taking.	Support does not erase older adult participation	Caregiver coordination can leave recognition and taking with the older adult.	Family involvement is not automatic evidence of dependence.	RQ1; C1
Distance and transition turn coordination into uncertain verification	Work, travel, and changed routines separate the people and cues that normally align medication work.	Shared reminding can fail collectively	When everyone is occupied, responsibility does not move cleanly to another person.	A collective lapse is not proof that one family member failed to care.	RQ1; C1
Distance and transition turn coordination into uncertain verification	Work, travel, and changed routines separate the people and cues that normally align medication work.	Distance converts observation into trust and contact	Caregivers away from home call or rely on verbal confirmation.	An unobserved dose is uncertain rather than necessarily missed.	RQ1; C1
Distance and transition turn coordination into uncertain verification	Work, travel, and changed routines separate the people and cues that normally align medication work.	Checking carries care and pressure together	Checking can reassure caregivers while repeated questions may irritate older adults.	Monitoring cannot be classified in advance as care or surveillance.	RQ1; C1
Current tools solve isolated tasks but do not coordinate handoffs	Existing aids have variable fit because they may shift work or leave interpretation to another person.	An aid can redistribute maintenance work	A pillbox may create a new refilling task.	Pillbox abandonment comes from one household.	RQ1; C1 and C3 basis
Current tools solve isolated tasks but do not coordinate handoffs	Existing aids have variable fit because they may shift work or leave interpretation to another person.	Signals without medicine meaning leave family interpretation	A generic alarm may indicate time without specifying medicine or relation to food.	The problem is missing meaning rather than sound itself.	RQ1; C1 and C3 basis
Current tools solve isolated tasks but do not coordinate handoffs	Existing aids have variable fit because they may shift work or leave interpretation to another person.	Low technology practices remain legitimate baselines	Paper prescriptions and ordinary alarms already suffice in one caregiver account.	Future technology must exceed the value of situated current practices.	RQ1; C1
Future technology should support selective coordination under human authority	Caregivers connect proposed features to current breakdowns while retaining human verification and clinical authority.	Prompts should specify the medicine action	Speech, names, timing, and visual matching make a reminder actionable.	These are elicited expectations rather than reports of use.	RQ1 with formative support for RQ3; C3 basis
Future technology should support selective coordination under human authority	Caregivers connect proposed features to current breakdowns while retaining human verification and clinical authority.	Escalation should wait, remain selective, and be visible	Another reminder and time to respond should precede an exception alert to one caregiver.	A missing confirmation cannot prove a missed dose.	RQ1 with formative support for RQ3; C3 basis
Future technology should support selective coordination under human authority	Caregivers connect proposed features to current breakdowns while retaining human verification and clinical authority.	Kin may configure while clinicians decide	Trusted kin may enter schedules, but medication changes remain with clinicians.	Delegated setup still requires visibility and revocability.	RQ1 with formative support for RQ3; C3 basis
