Code_ID	Code	Definition	Subtheme	Theme	Analytic_priority	Evidence_status	Example_quote	Example_source	Reflexivity_note	Interview_gap
O01	Peers cue remembering	Seeing or hearing peers take medicine can trigger one's own routine.	Care work and reminders circulate through relationships and presence	Medication work is relationally distributed, while agency and authority remain differentiated	Supporting	Lived practice / reconstructed episode	"""They don't tell me take yours. They say I have to take mine and then I remember mine. Same thing."" (P04, Phase 1, L107)"	P04	I separated incidental cues from explicit family checking.	Incidental peer cueing is distinct from explicit family monitoring; retain as contextual support, not a central mechanism.
O02	Reminding follows presence	Whoever is nearby may remind, so responsibility moves with household presence.	Care work and reminders circulate through relationships and presence	Medication work is relationally distributed, while agency and authority remain differentiated	Core	Lived practice / reconstructed episode	"""Whoever is around. It depends on who is at home."" (P02, Phase 1, L377)"	P02	This is circulation, not evidence that nobody carries primary responsibility.	
O03	Doctor authorizes changes	Families discuss options, but participants reserve medication changes for clinicians.	Knowledge, interpretation, supply, and clinical authority sit with different people	Medication work is relationally distributed, while agency and authority remain differentiated	Core	Lived practice / reconstructed episode	"""No no. Change means doctor has to say."" (P06, Phase 1, L103)"	P06	Peer influence does not erase the consistently stated clinical boundary.	
O04	Kin hold prescription knowledge	Kin retain papers and translate clinical instructions into household routines.	Knowledge, interpretation, supply, and clinical authority sit with different people	Medication work is relationally distributed, while agency and authority remain differentiated	Core	Lived practice / reconstructed episode	"""My son. He keeps the prescription also. He knows what doctor said."" (P04, Phase 1, L51)"	P04	The evidence names several kin roles, so I did not reduce this to one caregiver.	
O05	Pharmacist interprets handwriting	Pharmacists translate difficult prescriptions and identify medicines without taking prescribing authority.	Knowledge, interpretation, supply, and clinical authority sit with different people	Medication work is relationally distributed, while agency and authority remain differentiated	Core	Lived practice / reconstructed episode	"""Pharmacy person can understand it. We cannot understand properly. So we ask them."""	P12, Phase 1, L113	I retained pharmacists because the care network extends beyond co residents.	
O06	Shared-device access makes digital participation relational	Some older adults access phones through family-owned or family-configured devices, making proxy use part of ordinary participation rather than an exceptional fallback.	Knowledge, interpretation, supply, and clinical authority sit with different people	Medication work is relationally distributed, while agency and authority remain differentiated	Core	Lived practice	"""My son has one... If I need to talk I use his phone."" (P06, Phase 1, L59)"	P06	Shared access should not be coded as absence of agency; it changes who performs setup and interaction work.	Device ownership and sharing were not demonstrated consistently across all interviews; avoid prevalence claims.
O07	Social testimony shapes medicine confidence	Repeated positive accounts from family, friends, or peers can increase confidence in a medicine while participants still distinguish that influence from clinical authorization.	Knowledge, interpretation, supply, and clinical authority sit with different people	Medication work is relationally distributed, while agency and authority remain differentiated	Supporting	Prompt-heavy hypothetical / contextual	"""Many people saying same thing I listen more."" (P12, Phase 1, L85)"	P12	The interviews repeatedly prompted group-opinion hypotheticals; retain as contextual evidence but do not make it a headline finding.	Some group-influence questions were leading and repeated; use only to bound trust/authority claims.
O08	Independent management asserted	Some older adults reject assistance or technology as unnecessary for current routines.	Older adults preserve practical agency through routine, recognition, and selective independence	Medication work is relationally distributed, while agency and authority remain differentiated	Boundary	Lived practice / self-positioning	"""Yes, my memory is very sharp."" (P17, Phase 1, L27)"	P17	The claim performs competence and also reports a practice; both readings remain.	
O09	Recognizing without naming	Familiar packaging supports action without recall of biomedical names.	Older adults preserve practical agency through routine, recognition, and selective independence	Medication work is relationally distributed, while agency and authority remain differentiated	Core	Lived practice / self-positioning	"""I can tell which one I take because I see it every day. But the name I cannot say."" (P03, Phase 1, L71)"	P03	Visual recognition is competence here, not a lesser substitute for reading.	
O10	Self-directed regimen adjustment is an under-probed boundary case	One older adult reported skipping medicines he considered unnecessary when unwell, complicating a simple claim that medication changes always remain with clinicians.	Older adults preserve practical agency through routine, recognition, and selective independence	Medication work is relationally distributed, while agency and authority remain differentiated	Boundary	Under-probed single case	"""Whenever health is not at an optimal level, I skip some medicines which are not required for that particular illness."" (P17, Phase 1, L43)"	P17	Do not interpret this as clinically appropriate behavior; analytically it is a boundary case about self-directed authority.	The interviewer did not ask which medicines, how often, whether the doctor knew, or how the participant decided; keep strictly as a boundary case.
O11	Taking remains with older adults	Older adults may retain dosing while kin handle identification, supply, or interpretation.	Older adults preserve practical agency through routine, recognition, and selective independence	Medication work is relationally distributed, while agency and authority remain differentiated	Core	Lived practice / self-positioning	"""Taking is easy. Knowing which medicine is little difficult"" (P08, Phase 1, L101)"	P08	I separated taking from knowing to avoid treating distributed work as dependence.	
O12	Repeated checking irritates	Frequent questions can feel irritating even when later interpreted as help.	Checking carries care, worry, and relational pressure at the same time	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Core	Lived practice / reconstructed episode	"""Sometimes I get irritated also because she asks so much. But later I think okay she is helping."" (P05, Phase 1, L223)"	P05	This prevents checking from being coded as either care or surveillance in advance.	Older-adult response to checking was inconsistently probed; preserve as counterevidence to treating monitoring as automatically benign.
