Code	Definition	Sub-theme	Theme	Example quote	Reflexivity note
Spoken allegiance clarifies service	An audible statement helps an older adult understand whether the agent is addressing them or involving family.	Older adults respond before family is involved	Older adults accept family involvement when they stay in control	"When it said it is working for me, I understood it better." (P10, Phase 2, L13)	Spoken Bangla role announcements were deployed; unfamiliarity tempers the positive account.
Permission makes handoff visible	A request marks the moment when a private reminder can become shared care work.	Older adults respond before family is involved	Older adults accept family involvement when they stay in control	"Then later it asked for permission to involve the family [...] I agreed." (P10, Phase 2, L21)	The request and grant prompt was deployed in this self reported episode.
Permission can be declined	Older adults stop unnecessary family involvement when they report that the dose was already taken.	Older adults respond before family is involved	Older adults accept family involvement when they stay in control	"Then I stopped the family alert because there was no need to worry them." (P10, Phase 2, L31)	No app log verifies how often participants declined.
Older adults receive first chance	The medicine taker expects an opportunity to respond before the agent contacts another person.	Older adults respond before family is involved	Older adults accept family involvement when they stay in control	"First remind me. Give me a chance to respond. Then family can be told." (P05, Phase 2, L155)	This order was elicited but recurs across accounts.
Retry precedes escalation	Another reminder and waiting period should precede a handoff to the care network.	Older adults respond before family is involved	Older adults accept family involvement when they stay in control	"Give me the reminder first. Then maybe another reminder." (P11, Phase 2, L128)	Risk graded escalation was not implemented.
One relative receives exception	An unresolved event goes to a selected caregiver rather than the entire household.	Older adults respond before family is involved	Older adults accept family involvement when they stay in control	"One family member is enough. If everyone gets it, then everybody may start asking me." (P13, Phase 2, L130)	This hypothetical boundary protects selective involvement.
Routine disclosure is refused	Successful doses and small delays do not justify continuous family notification.	Older adults respond before family is involved	Older adults accept family involvement when they stay in control	"normal medicine reminders should remain with me." (P17, Phase 2, L126)	This self manager prevents collectivism from becoming compulsory disclosure.
Confirmation and dosing diverge	An older adult may take medicine without pressing the confirmation control.	A missing response does not prove a missed dose	The agent helps when it supports routines and shows uncertainty	"I had actually taken it, I just forgot the phone part." (P05, Phase 2, L19)	This lived record gap limits automatic escalation.
Silence has situated causes	Work, conversation, travel, delay, or an unheard prompt can produce nonresponse.	A missing response does not prove a missed dose	The agent helps when it supports routines and shows uncertainty	"Silence does not necessarily mean I have forgotten. Sometimes I am simply busy." (P11, Phase 2, L48)	Patterned silence interpretation was not deployed.
Missing records call for checking	An unconfirmed dose should prompt inquiry rather than an immediate missed dose claim.	A missing response does not prove a missed dose	The agent helps when it supports routines and shows uncertainty	"the family should check instead of assuming." (P14, Phase 2, L57)	This is an elicited response to record uncertainty.
False alerts redistribute worry	Incorrect missed dose implications create avoidable concern and repeated questioning.	A missing response does not prove a missed dose	The agent helps when it supports routines and shows uncertainty	"he will worry for no reason." (P06, Phase 2, L63)	No logs establish alert accuracy.
Prescription and package anchor truth	Older adults compare reminders with prescriptions, medicine strips, notes, and established routines.	People check before trusting the agent	Older adults accept family involvement when they stay in control	"The prescription is the authority for me." (P15, Phase 2, L43)	Material records remain accountable references, not automatically error free.
Suspect prompts are refused	Older adults reject duplicate, unfamiliar, or contradictory medication instructions.	People check before trusting the agent	Older adults accept family involvement when they stay in control	"I will not take another one just because the app says so." (P05, Phase 2, L43)	The elicited veto expresses a clear authority boundary.
Joint checking calibrates trust	Older adults and relatives compare names and timings before relying on routine reminders.	People check before trusting the agent	Older adults accept family involvement when they stay in control	"My son checked it first. I also watched what it was saying." (P04, Phase 2, L145)	This is lived checking, not the unimplemented probationary mode.
Repeated reminders strengthen timing	Repeated reminders make dose times easier to anticipate without replacing established memory or routines.	Reminders can strengthen an existing routine	The agent helps when it supports routines and shows uncertainty	"Maybe it has reinforced the timing." (P11, Phase 2, L110)	Elicited by a leading prompt but retained because the response rejects memory replacement.
Existing routines remain fallback	Notes, prescriptions, habits, recognition, and human reminders remain available if the agent stops.	Reminders can strengthen an existing routine	The agent helps when it supports routines and shows uncertainty	"My notes are working well for me. The reminder is just extra help." (P16, Phase 2, L141)	Retained competence limits dependence claims.
Error or pressure revokes trust	Wrong content, repeated disturbance, or undisclosed action can end use.	People check before trusting the agent	Older adults accept family involvement when they stay in control	"Wrong medicine, wrong timing, too many alerts. If it changes something without telling us, also bad." (P04, Phase 2, L193)	These are hypothetical stopping conditions.
Long routines precede scores	Longstanding medication routines exist before any streak or score is introduced.	Routines and prescriptions come before scores	Routines and prescriptions matter more than scores and streaks	"I don't need a score to take my medicines. I have been doing this for eighteen years." (P11, Phase 2, L84)	This account directly limits gamification as a primary motive.
Prescription grounds medication duty	Following a clinician's prescription provides a reason for taking medicine independent of points.	Routines and prescriptions come before scores	Routines and prescriptions matter more than scores and streaks	"I don't take medicine because of the points. I take it because the doctor prescribed it." (P15, Phase 2, L103)	The participant distinguishes obligation from game feedback.
Scores can remain unfamiliar	Some older adults find scores unnecessary or difficult to interpret within established routines.	Routines and prescriptions come before scores	Routines and prescriptions matter more than scores and streaks	"I don't understand these scores very much." (P09, Phase 2, L82)	Unfamiliarity challenges assumptions imported from younger users.
A streak can add small interest	Visible continuity can add interest or a desire not to lose accumulated progress.	A streak can add small interest	Routines and prescriptions matter more than scores and streaks	"when you see that you have been regular for many days, you don't want to lose it." (P05, Phase 2, L111)	The same account names habit as the main reason.
Family notices visible continuity	A streak gives involved relatives a way to notice sustained medication work.	A streak can add small interest	Routines and prescriptions matter more than scores and streaks	"It became something they could see. But they don't need to make a big thing about it." (P07, Phase 2, L107)	Visibility is relational but not an adherence outcome.
