Theme	Theme definition	Sub-theme	What it means	Boundary or counter-case	RQ and contribution	Consequence (leads to next theme)
Inheriting the Agent into Family Practice	Older adults heard the agent say whom it worked for, granted its request to involve family, and let it become shared through the kin who checked it. They account for this as trust and as another way of a help the family already gave, with the older adult first and the family second.	The Announcement as Legibility and Slight Exposure	The spoken statement of whom the agent served was strange, then clarifying; it made the family's behaviour legible as well as the agent's. Said in front of others it exposed a little, and the older adult wants to be told before the family is.	Grants were lived by six older adults; consent as a condition was named by one (P14). Self-managers (theme 2) granted nothing.	RQ2 assignment and gifting; C1, C2 (direction, ceremony)	Because the agent's allegiance was inherited from the household's own division, what changed was not who decides but who reminds first, the next theme.
Inheriting the Agent into Family Practice	Older adults heard the agent say whom it worked for, granted its request to involve family, and let it become shared through the kin who checked it. They account for this as trust and as another way of a help the family already gave, with the older adult first and the family second.	Granting the Request as an Act of Trust Toward Kin	Six older adults narrate the request-and-grant prompt: an unanswered reminder, a request, agreement, a kin's question. The grant is accounted for as trust because nobody hands the tablet, and as another way of a help already given.	Grants were lived by six older adults; consent as a condition was named by one (P14). Self-managers (theme 2) granted nothing.	RQ2 assignment and gifting; C1, C2 (direction, ceremony)	Because the agent's allegiance was inherited from the household's own division, what changed was not who decides but who reminds first, the next theme.
Inheriting the Agent into Family Practice	Older adults heard the agent say whom it worked for, granted its request to involve family, and let it become shared through the kin who checked it. They account for this as trust and as another way of a help the family already gave, with the older adult first and the family second.	Shared Through the Kin Who Checked It	The agent became the household's when a daughter, son, or daughter-in-law checked it or heard it, not through configuration.	Grants were lived by six older adults; consent as a condition was named by one (P14). Self-managers (theme 2) granted nothing.	RQ2 assignment and gifting; C1, C2 (direction, ceremony)	Because the agent's allegiance was inherited from the household's own division, what changed was not who decides but who reminds first, the next theme.
Inheriting the Agent into Family Practice	Older adults heard the agent say whom it worked for, granted its request to involve family, and let it become shared through the kin who checked it. They account for this as trust and as another way of a help the family already gave, with the older adult first and the family second.	A Plural Principal With an Order and a Consent Condition	Everyone answered both, the older adult first; one participant named her own agreement as the condition for telling family.	Grants were lived by six older adults; consent as a condition was named by one (P14). Self-managers (theme 2) granted nothing.	RQ2 assignment and gifting; C1, C2 (direction, ceremony)	Because the agent's allegiance was inherited from the household's own division, what changed was not who decides but who reminds first, the next theme.
Relocated Reminding, Retained Care	The first reminder moved from spouse or child to the agent and kin asked less, but they still ask and that asking is care, sometimes irritating, that the agent cannot carry. The phone does not know if the older adult has eaten; the family does. Self-managers refused a family project.	The First Reminder Moved to the Agent	The phone or the ringing now reminds first; kin ask less for normal doses and ask again when the agent tells them something.	Counter-case: P11, P15, P17 keep reminders to themselves; P17 had no family routine to replace.	RQ2 contestation inside care; C1	Because the family's asking remained the check that mattered, the agent's record had to yield to the person, the next theme.
Relocated Reminding, Retained Care	The first reminder moved from spouse or child to the agent and kin asked less, but they still ask and that asking is care, sometimes irritating, that the agent cannot carry. The phone does not know if the older adult has eaten; the family does. Self-managers refused a family project.	Family Asking as Care the Agent Cannot Replace	Irritation at repeated asking and knowing it is care sit in one sentence; a son's question is a different act from a phone message.	Counter-case: P11, P15, P17 keep reminders to themselves; P17 had no family routine to replace.	RQ2 contestation inside care; C1	Because the family's asking remained the check that mattered, the agent's record had to yield to the person, the next theme.
Relocated Reminding, Retained Care	The first reminder moved from spouse or child to the agent and kin asked less, but they still ask and that asking is care, sometimes irritating, that the agent cannot carry. The phone does not know if the older adult has eaten; the family does. Self-managers refused a family project.	Situated Knowledge Kept With the Family	The phone knows only what is put into it; the spouse knows whether the older adult has eaten or is outside.	Counter-case: P11, P15, P17 keep reminders to themselves; P17 had no family routine to replace.	RQ2 contestation inside care; C1	Because the family's asking remained the check that mattered, the agent's record had to yield to the person, the next theme.
Relocated Reminding, Retained Care	The first reminder moved from spouse or child to the agent and kin asked less, but they still ask and that asking is care, sometimes irritating, that the agent cannot carry. The phone does not know if the older adult has eaten; the family does. Self-managers refused a family project.	Counter-Case: Not a Family Project	Self-managing older adults accept the agent as a layer and decline family notification and any collectivisation of their routine.	Counter-case: P11, P15, P17 keep reminders to themselves; P17 had no family routine to replace.	RQ2 contestation inside care; C1	Because the family's asking remained the check that mattered, the agent's record had to yield to the person, the next theme.
Person Over Record, Doctor Over Agent	Older adults read their own silence as busyness or a forgotten press and insist a person check before the record is believed; a false alarm to kin is the failure they fear. They used the decline to spare kin worry, want the first chance and then one kin told only of a real miss, keep the doctor and the prescription above the agent, and found the agent stale after a change until someone updated it. Described pushback was accepted only as reasoning about a design that was not built.	Silence as Busyness and the Record Below the Act	No answer means busy, deferred, unheard, or taken and not pressed; the agent must not assume a miss and a kin's question settles it.	M07 is believed-capability throughout; the weakening veto was not built. Two lived stale-schedule episodes (P10, P11).	RQ2 revocation; RQ3 tool role, revocability, visibility	With the agent bounded to reminding and its record held below the person, its outcomes are relational and small, the last theme.
Person Over Record, Doctor Over Agent	Older adults read their own silence as busyness or a forgotten press and insist a person check before the record is believed; a false alarm to kin is the failure they fear. They used the decline to spare kin worry, want the first chance and then one kin told only of a real miss, keep the doctor and the prescription above the agent, and found the agent stale after a change until someone updated it. Described pushback was accepted only as reasoning about a design that was not built.	The Decline Used to Spare Worry	Older adults stopped the family alert when they had taken the dose, so kin would not worry or think they missed.	M07 is believed-capability throughout; the weakening veto was not built. Two lived stale-schedule episodes (P10, P11).	RQ2 revocation; RQ3 tool role, revocability, visibility	With the agent bounded to reminding and its record held below the person, its outcomes are relational and small, the last theme.
Person Over Record, Doctor Over Agent	Older adults read their own silence as busyness or a forgotten press and insist a person check before the record is believed; a false alarm to kin is the failure they fear. They used the decline to spare kin worry, want the first chance and then one kin told only of a real miss, keep the doctor and the prescription above the agent, and found the agent stale after a change until someone updated it. Described pushback was accepted only as reasoning about a design that was not built.	Described Pushback Accepted in Principle (Believed-Capability)	Irritation at being asked again after a no, then acceptance because medicine is dangerous; reasoning about a described mechanism, not use.	M07 is believed-capability throughout; the weakening veto was not built. Two lived stale-schedule episodes (P10, P11).	RQ2 revocation; RQ3 tool role, revocability, visibility	With the agent bounded to reminding and its record held below the person, its outcomes are relational and small, the last theme.
Person Over Record, Doctor Over Agent	Older adults read their own silence as busyness or a forgotten press and insist a person check before the record is believed; a false alarm to kin is the failure they fear. They used the decline to spare kin worry, want the first chance and then one kin told only of a real miss, keep the doctor and the prescription above the agent, and found the agent stale after a change until someone updated it. Described pushback was accepted only as reasoning about a design that was not built.	First Chance, One Kin, Real Miss	Escalation that waits, repeats, then tells one person chosen by knowledge or presence, only for a real miss, silence, or empty stock.	M07 is believed-capability throughout; the weakening veto was not built. Two lived stale-schedule episodes (P10, P11).	RQ2 revocation; RQ3 tool role, revocability, visibility	With the agent bounded to reminding and its record held below the person, its outcomes are relational and small, the last theme.
Person Over Record, Doctor Over Agent	Older adults read their own silence as busyness or a forgotten press and insist a person check before the record is believed; a false alarm to kin is the failure they fear. They used the decline to spare kin worry, want the first chance and then one kin told only of a real miss, keep the doctor and the prescription above the agent, and found the agent stale after a change until someone updated it. Described pushback was accepted only as reasoning about a design that was not built.	The Doctor Decides and a Wrong Reminder Can Be Stopped	The prescription or notes are the authority; the agent reminds what was decided and can be stopped when wrong.	M07 is believed-capability throughout; the weakening veto was not built. Two lived stale-schedule episodes (P10, P11).	RQ2 revocation; RQ3 tool role, revocability, visibility	With the agent bounded to reminding and its record held below the person, its outcomes are relational and small, the last theme.
Person Over Record, Doctor Over Agent	Older adults read their own silence as busyness or a forgotten press and insist a person check before the record is believed; a false alarm to kin is the failure they fear. They used the decline to spare kin worry, want the first chance and then one kin told only of a real miss, keep the doctor and the prescription above the agent, and found the agent stale after a change until someone updated it. Described pushback was accepted only as reasoning about a design that was not built.	Knowledge Only as Current as Its Updater	After a change the agent reminded of the old schedule until updated; a change must be told to everyone.	M07 is believed-capability throughout; the weakening veto was not built. Two lived stale-schedule episodes (P10, P11).	RQ2 revocation; RQ3 tool role, revocability, visibility	With the agent bounded to reminding and its record held below the person, its outcomes are relational and small, the last theme.
Relational Outcomes of a Two-Week Deployment	The streak became a small thing kin talked about, its breaks made small by family and read as something to check rather than lose. Trust was earned by testing the agent against routine, alarm, notes, or prescription and borrowed from the kin who set it. The reminder acted as a second memory rather than a replacement, wanted as a voice with the name, with stock alerts and no extra work.	The Streak as a Family Object	Family noticed and praised the streak; a break felt bad and was made small by kin; more read a changed count as something to check than as a loss; sharing for encouragement, not pressure, and never outside the family.	Shared family scores were not built; probationary mode was not built; the testing was participant-initiated. P13 still forgets sometimes.	RQ3 outcomes and mechanisms; C3	These outcomes close the older adults' account and hand the design its terms for the next iteration.
