Code	Definition	Sub-theme	Theme	Example quote
It just became my routine	Caregiving grew from need; no family decision was made about who does it.	A caregiving role that arrived without a decision and cannot be handed back	A medication system that lives in one caregiver's memory and breaks when they are away	\"It mostly just happened. I started helping because they needed it, and then it became my routine. If I am busy or away, someone else may help. We don't really sit and decide these things formally.\" (C01, Phase 1, L357)
Whoever is at home reminds	Reminding is shared by presence and habit; there is no fixed person or proper system.	A caregiving role that arrived without a decision and cannot be handed back	A medication system that lives in one caregiver's memory and breaks when they are away	\"All of us in some way. But mostly whoever is at home at that time. We don't have a proper system.\" (C03, Phase 1, L57)
I know the names; she knows the packet	The caregiver knows medicine names; the older adult recognises by packet, colour, and place.	Knowledge split between the caregiver who knows the names and the parent who knows the packet, with the caregiver filtering outside advice	A medication system that lives in one caregiver's memory and breaks when they are away	\"I think I know them better. She recognizes the packet more than the exact name.\" (C04, Phase 1, L45)
I buy it, read the label, and explain it	Caregivers buy the medicine, rely on strip or leaflet instructions, and explain changes two or three times.	Knowledge split between the caregiver who knows the names and the parent who knows the packet, with the caregiver filtering outside advice	A medication system that lives in one caregiver's memory and breaks when they are away	\"I tell them. I say this is the new one and this is when you have to take it. Sometimes I explain two or three times because they may forget.\" (C01, Phase 1, L181)
We do not guess; we call the doctor or pharmacist	Anything serious, a wrong dose or a new medicine, goes to a professional, not to guesswork.	Knowledge split between the caregiver who knows the names and the parent who knows the packet, with the caregiver filtering outside advice	A medication system that lives in one caregiver's memory and breaks when they are away	\"First we check what they took and what they were supposed to take. Then we call the doctor or pharmacist if it looks serious. We don't just guess what to do.\" (C02, Phase 1, L77)
Many people saying it makes it feel tested, but the doctor decides	Group agreement raises trust in a medicine; caregivers still stop parents changing medicine on peer advice.	Knowledge split between the caregiver who knows the names and the parent who knows the packet, with the caregiver filtering outside advice	A medication system that lives in one caregiver's memory and breaks when they are away	\"Because you see people around you using something. It feels tested. You think okay they used it and nothing happened. So you trust it more. It is a social thing.\" (C03, Phase 1, L129)
She knows, but the time goes away	Older adults understand the dose; kitchen work, guests, and talk make the time pass unnoticed.	Dose time lost to housework, guests, and travel rather than to forgetting	A medication system that lives in one caregiver's memory and breaks when they are away	\"No no she understands. She knows that she has to take it. The problem is remembering the time. She knows she has to take it but the time goes away.\" (C01, Phase 1, L89)
Outside the home the routine changes	Travel, guests, and events change eating and sleeping times; medicine is left behind or forgotten in a bag.	Dose time lost to housework, guests, and travel rather than to forgetting	A medication system that lives in one caregiver's memory and breaks when they are away	\"Yes definitely. At home everything is fixed. The medicine is in the same place and the time is more or less same. When you go somewhere the routine changes. You are talking, eating at a different time, travelling, maybe sleeping late. Then it is easier to miss.\" (C02, Phase 1, L93)
We just remember; one place so everyone knows	Daily tracking relies on habit and a fixed spot for the strips; nothing is written or set.	No record and no way to know from a distance, and a phone yes that may be false	A medication system that lives in one caregiver's memory and breaks when they are away	\"Honestly, I just remember on my own! I don't really use any aids or anything. It’s just become a habit from taking them and giving them every single day, so it stays in my head.\" (C05, Phase 1, L27)
The paper prescription is my reference	When in doubt the caregiver goes back to the doctor's paper.	No record and no way to know from a distance, and a phone yes that may be false	A medication system that lives in one caregiver's memory and breaks when they are away	\"Over time, I’ve just gotten used to the daily routine by doing it every single day, but whenever there's any doubt about timing or doses, I go right back to checking the doctor's paper prescription.\" (C06, Phase 1, L24)
If I cannot call, I just have to trust	Away from home the caregiver has no way to know whether a dose was taken.	No record and no way to know from a distance, and a phone yes that may be false	A medication system that lives in one caregiver's memory and breaks when they are away	\"Then it is difficult. If I can call I call. If I cannot then I just have to trust that she will take it. There is no proper way to know.\" (C01, Phase 1, L109)
