Theme	Organizing concept	Sub-theme	What it means	Boundary or countercase	RQ and contribution
Medication work is distributed through differentiated household roles	Medication becomes manageable through relational interdependence, with taking, recognizing, interpreting, supplying, reminding, and authorizing distributed across a care network.	Older adults retain taking through recognition and routine	Familiar strips, places, meals, and repeated action support direct participation without requiring medicine name recall.	Some caregivers administer doses directly, while several older adults manage without assistance.	RQ1; C1
Medication work is distributed through differentiated household roles	Medication becomes manageable through relational interdependence, with taking, recognizing, interpreting, supplying, reminding, and authorizing distributed across a care network.	Kin and professionals hold differentiated knowledge and authority	Collective decision making routes information through trusted kin and pharmacists while doctors retain authority over treatment changes.	No household pairing map permits claims that both sides describe the same episode.	RQ1; C1
Medication work is distributed through differentiated household roles	Medication becomes manageable through relational interdependence, with taking, recognizing, interpreting, supplying, reminding, and authorizing distributed across a care network.	Reminding circulates through presence with an independence boundary	Whoever is nearby may remind, while some older adults refuse help or accept it only under limits.	Unplanned caregiver role acquisition is directly supported only by C01.	RQ1; C1
Routine transitions expose weak coordination and uncertain verification	Problems arise when cues and people carrying medication work no longer align across time, place, or regimen change.	Routine transitions displace embodied and social cues	Travel, visitors, work, delayed meals, and changed packaging unsettle routines that otherwise hold.	This pattern does not license a claim of generalized memory decline.	RQ1; C1
Routine transitions expose weak coordination and uncertain verification	Problems arise when cues and people carrying medication work no longer align across time, place, or regimen change.	Handoffs fail when availability and attention do not align	Shared reminding can fail when everyone is occupied or a caregiver is away.	Distance creates uncertainty, not proof that a dose was missed.	RQ1; C1
Routine transitions expose weak coordination and uncertain verification	Problems arise when cues and people carrying medication work no longer align across time, place, or regimen change.	Verification and supply gaps redistribute worry	Repeated checking burdens caregivers and may irritate older adults, while stock depletion produces misses unrelated to remembering.	Caregiver reports of illness after misses are temporal accounts, not causal evidence.	RQ1; C1 and C3 basis
Existing aids fit tasks but miss household handoffs	Current aids succeed at bounded tasks but often fail to connect distributed work across people and contexts.	Aids add coordination work or signal without meaning	Pillboxes may require refilling, while generic alarms may not name the action needed. These tensions motivate future features rather than proving current tools always fail.	The pillbox abandonment comes from one household, and P12 finds alarms useful despite deferral.	RQ1; C1 and C3 basis
Existing aids fit tasks but miss household handoffs	Current aids succeed at bounded tasks but often fail to connect distributed work across people and contexts.	Device, literacy, and documents condition direct use	Button phones, small print, difficult handwriting, and multi step apps shape who can act directly.	These are infrastructural and interaction conditions, not age based incapacity.	RQ1; C1
Existing aids fit tasks but miss household handoffs	Current aids succeed at bounded tasks but often fail to connect distributed work across people and contexts.	Existing low technology practices sometimes remain sufficient	Notes, labels, prescriptions, alarms, spatial cues, and family questions already solve parts of the work.	C06 reports no unmet need, and P11, P15, and P16 decline medication technology.	RQ1; C1
Families expect technology to support bounded care network roles	Participants connect proposed features to specific limits of current tools while keeping escalation, visibility, and medical authority bounded.	Voice and visual cues sustain direct older adult use	Speech, medicine names, pictures, and simple controls answer generic alarms, small print, and multi-step interaction by connecting prompts to familiar action.	Preferences were often elicited, and P02 alone raises privacy in company.	RQ1 with formative support for RQ3; C3 basis
Families expect technology to support bounded care network roles	Participants connect proposed features to specific limits of current tools while keeping escalation, visibility, and medical authority bounded.	Escalation remains delayed, selective, and visible	Participants prefer another reminder before meaningful exception alerts and reject hidden checking.	A missed confirmation cannot establish a missed dose without verified sensing.	RQ1 with formative support for RQ3; C3 basis
Families expect technology to support bounded care network roles	Participants connect proposed features to specific limits of current tools while keeping escalation, visibility, and medical authority bounded.	Kin configure while clinicians retain decisional authority	Trusted kin may configure schedules, but technology should inform and warn rather than change medicines.	Delegated setup still needs visibility and revocability; Phase 1 does not show negotiated agent allegiance.	RQ1 with formative support for RQ3; C3 basis
