Theme	Organizing concept	Sub-theme	What it means	Boundary and variation	RQ and contribution
Older adults accept family involvement when they stay in control	Older adults accept family involvement when the agent explains it, lets them respond first, allows refusal, and keeps medicine decisions with people.	Older adults respond before family is involved	The agent explains family involvement, reminds the older adult first, waits, and contacts only one chosen person when needed.	Risk graded veto weakening was not deployed; repeated requests can become irritating.	RQ2 and RQ3; direction, visibility, revocability, and ceremony; C2 and C3
Older adults accept family involvement when they stay in control	Older adults accept family involvement when the agent explains it, lets them respond first, allows refusal, and keeps medicine decisions with people.	People check before trusting the agent	People compare the agent with prescriptions and known routines, refuse errors, and return to familiar methods when needed.	The agent cannot establish ingestion, prescribe, or change medicine.	RQ2 and RQ3; tool and advocate boundaries; C2 and C3
Routines and prescriptions matter more than scores and streaks	Routines and prescriptions drive medication taking; streaks add small interest but can also cause disappointment and pressure.	Routines and prescriptions come before scores	Long-term routines and doctors' instructions make medicine necessary before game feedback appears.	Some older adults find scores unnecessary or difficult to understand.	RQ3; motivation and coach-role boundary; C3
Routines and prescriptions matter more than scores and streaks	Routines and prescriptions drive medication taking; streaks add small interest but can also cause disappointment and pressure.	A streak can add small interest	A streak can show regular practice and make that effort visible to family.	No younger comparison group exists, and no adherence effect can be inferred.	RQ3; bounded gamification; C3
Routines and prescriptions matter more than scores and streaks	Routines and prescriptions drive medication taking; streaks add small interest but can also cause disappointment and pressure.	Broken streaks can create pressure	Losing a streak can cause disappointment, while family can return attention to the next medicine event.	Monitoring, competition, performance judgment, and score anxiety can make the feature unacceptable.	RQ3; dignity and revocability; C3
Friends and community shape care, but doctors decide medicine	Older adults remind others and learn from friends and community groups, while doctors retain authority and digital sharing stays optional.	People remind and learn from each other	Mutual reminders and everyday medicine talk let older adults care for others and receive reminders themselves.	Community questions appeared only in a subset and were mostly elicited.	RQ2 and RQ3; extended care network; C2
Friends and community shape care, but doctors decide medicine	Older adults remind others and learn from friends and community groups, while doctors retain authority and digital sharing stays optional.	Community advice leads to questions, not decisions	Community experience can build technology trust and raise questions, but doctors remain responsible for medicine decisions.	Peer talk can confuse, and conversational sharing does not authorize automatic digital disclosure.	RQ2 and RQ3; differentiated authority; C2 and C3
Care tasks are divided while older adults stay involved	Family members can handle setup and supplies while older adults remain involved in taking, confirming, and checking medicine.	Family setup can preserve older adult control	Relatives may set schedules while older adults take medicine, confirm doses, question errors, and refuse prompts.	Invisible changes or unavailable family helpers can turn assistance into dependence.	RQ2 and RQ3; direction and dignity; C2 and C3
Care tasks are divided while older adults stay involved	Family members can handle setup and supplies while older adults remain involved in taking, confirming, and checking medicine.	Features send tasks to responsible people	Stock alerts can reach the buyer, while prescription capture would still require checking by family, pharmacists, or doctors.	Stock sensing and prescription capture were not deployed.	RQ3; role-sensitive design; C3
The agent helps when it supports routines and shows uncertainty	The agent supports rather than replaces older adults when it reinforces familiar routines, stays easy to use, and treats missing confirmation as uncertainty.	Reminders can strengthen an existing routine	Portable reminders support changed routines and can make dose times easier to anticipate without replacing existing practices.	No logs or health outcomes establish adherence or cognitive improvement.	RQ3; prototype fit and cross-phase correction; C3
The agent helps when it supports routines and shows uncertainty	The agent supports rather than replaces older adults when it reinforces familiar routines, stays easy to use, and treats missing confirmation as uncertainty.	Simple prompts support direct use	Clear timing, Bangla speech, large text, medicine images, and few controls help older adults understand and respond.	Spoken service announcements were deployed; medicine images and selectable reminder modes were not.	RQ3; prototype evaluation and accessible interaction; C3
The agent helps when it supports routines and shows uncertainty	The agent supports rather than replaces older adults when it reinforces familiar routines, stays easy to use, and treats missing confirmation as uncertainty.	A missing response does not prove a missed dose	A missing response leads to a check because an older adult may take medicine without pressing the button.	False alerts can produce unnecessary worry; patterned silence interpretation was not deployed.	RQ2 and RQ3; implementation gap and contestability; C2 and C3
