Code	Definition	Sub-theme	Theme	Example quote	Reflexivity note
Dual service aligns responsibilities	Supporting medicine taking and coordination fits the interdependent structure of household medication work.	Prompts follow existing care roles	Caregivers accept agent coordination that remains selective and accountable	"It is mainly helping my mother take her medicines, but it also helps me because I know if she misses one." (C04, Phase 2, L181)	Elicited allegiance is grounded in the caregiver's differentiated work.
Role-sensitive routing directs reminders	The prompt reaches the older adult or caregiver positioned to perform the next action.	Prompts follow existing care roles	Caregivers accept agent coordination that remains selective and accountable	"Mostly it reminded me, because I am the one managing their medicines." (C05, Phase 2, L17)	Caregiver-led dosing counters a universal older-adult-first sequence.
Direct response narrows caregiver intervention	Older-adult action on a prompt lets caregivers reserve attention for unresolved events.	Prompts follow existing care roles	Caregivers accept agent coordination that remains selective and accountable	"Then she started hearing it and taking the medicine. I only check when there is something to check." (C04, Phase 2, L29)	Self-report supports changed checking, not verified independent use.
Routine prompts remain local	Ordinary dose reminders stay with the person performing the medication task.	Escalation stays selective and consented	Caregivers accept agent coordination that remains selective and accountable	"for a normal reminder, it doesn't need to involve everyone." (C02, Phase 2, L120)	C02 contains prompt-answer mismatches, so this statement carries reduced weight.
Exceptions recruit family backup	A persistent miss, conflict, or unresolved change brings another relative into the episode.	Escalation stays selective and consented	Caregivers accept agent coordination that remains selective and accountable	"If there is a repeated problem, a missed dose, or some issue that I cannot handle myself, then it should involve someone else." (C07, Phase 2, L120)	This hypothetical mechanism recurs across caregiver accounts.
Backup kin cover caregiver absence	Alerts mobilize another relative when the primary caregiver is working, sleeping, or away.	Escalation stays selective and consented	Caregivers accept agent coordination that remains selective and accountable	"if I am not home, other family members may need to know." (C01, Phase 2, L116)	The missing pairing map prevents recipient-specific claims.
Agreement bounds caregiver access	Family notification remains legitimate when the medicine taker knows and accepts the arrangement.	Escalation stays selective and consented	Caregivers accept agent coordination that remains selective and accountable	"When the person using it agrees that the family can be involved." (C03, Phase 2, L185)	Caregiver endorsement cannot substitute for older-adult consent.
Medicine-only scope prevents betrayal	The agent loses legitimacy if medication access expands into unrelated household information.	Escalation stays selective and consented	Caregivers accept agent coordination that remains selective and accountable	"If it shared private family information that was not about the medicine, that would not be okay." (C05, Phase 2, L177)	This hypothetical boundary narrows the agent's mandate.
Timing leaves active memory	Scheduled prompts remove exact dose times from caregivers' continuous attention.	Exceptions focus caregiver attention without claiming adherence	Caregivers accept agent coordination that remains selective and accountable	"I don't have to remember every medicine time myself." (C03, Phase 2, L33)	Reported relief is not an objective workload measure.
Exception-focused checking replaces routine questioning	Caregivers ask less about ordinary doses and concentrate checking on unresolved events.	Exceptions focus caregiver attention without claiming adherence	Caregivers accept agent coordination that remains selective and accountable	"We ask less for the normal doses because the reminder is there." (C03, Phase 2, L85)	Reduced questioning does not mean reduced care.
Selective alerts reduce repeated calls	Remote caregivers can wait for an exception instead of repeatedly contacting the household.	Exceptions focus caregiver attention without claiming adherence	Caregivers accept agent coordination that remains selective and accountable	"If the agent reminds them directly, then I don't have to keep calling." (C02, Phase 2, L128)	The mismatched prompt limits interpretation to this explicit mechanism.
Selective alerts free caregiver attention	Notification of exceptions lets caregivers return to employment or household work between doses.	Exceptions focus caregiver attention without claiming adherence	Caregivers accept agent coordination that remains selective and accountable	"I can focus on my work. If something needs my attention, then I get the notification." (C03, Phase 2, L165)	This is a self-reported attentional change.
Nonconfirmation triggers human inquiry	A missing confirmation prompts a question rather than proving that medicine was missed.	Exceptions focus caregiver attention without claiming adherence	Caregivers accept agent coordination that remains selective and accountable	"maybe she did not hear it or maybe she forgot. So I would check." (C04, Phase 2, L61)	Patterned silence interpretation was not deployed.
Silence remains ambiguous	Work, absence from the phone, or completed but unconfirmed action can produce nonresponse.	Exceptions focus caregiver attention without claiming adherence	Caregivers accept agent coordination that remains selective and accountable	"I might have given the medicine but forgotten to confirm it." (C06, Phase 2, L39)	C06 prompt-answer misalignment requires cautious use.
False alerts spread family worry	Incorrect missed-dose implications create avoidable concern and weaken attention to future alerts.	Exceptions focus caregiver attention without claiming adherence	Caregivers accept agent coordination that remains selective and accountable	"everyone would start worrying unnecessarily." (C06, Phase 2, L55)	No logs establish alert accuracy.
Alerts require actionable explanations	Warnings reduce uncertainty only when they identify the medicine, event, and reason for attention.	Exceptions focus caregiver attention without claiming adherence	Caregivers accept agent coordination that remains selective and accountable	"it should also tell me why it is giving the warning" (C07, Phase 2, L36)	This evaluates a hypothetical escalation.
Prescriptions anchor medication truth	Caregivers verify agent information against prescriptions, medicine strips, and established routines.	Verification preserves human authority	Caregivers accept agent coordination that remains selective and accountable	"I would check the prescription and the medicine strip first." (C08, Phase 2, L33)	This hypothetical answer establishes an authority order.
Clinicians authorize medication change	Doctors or pharmacists clarify new or conflicting instructions before families update the routine.	Verification preserves human authority	Caregivers accept agent coordination that remains selective and accountable	"I would check with the doctor or pharmacist." (C08, Phase 2, L65)	Access to clinicians may differ across households.
Families align changed instructions	A medication change requires updating shared understanding and the agent's configured schedule.	Verification preserves human authority	Caregivers accept agent coordination that remains selective and accountable	"If there is any change, the family should know." (C06, Phase 2, L87)	This is coordination, not evidence of formal ceremony.
Early checking calibrates reliance	Caregivers verify names and timings before allowing routine reminders to recede into the background.	Verification preserves human authority	Caregivers accept agent coordination that remains selective and accountable	"For some days I still kept the old written information nearby." (C04, Phase 2, L149)	Self-testing was lived; probationary mode was not deployed.
Repeated accuracy reduces double-checking	Agreement with known prescriptions earns reliance for stable routine reminders.	Verification preserves human authority	Caregivers accept agent coordination that remains selective and accountable	"I don't need to check every time. But for a new medicine I still check." (C03, Phase 2, L153)	Trust stays local to a verified routine.
Prescription change reopens verification	New medication returns attention and accountability to caregivers before reliance resumes.	Verification preserves human authority	Caregivers accept agent coordination that remains selective and accountable	"If the prescription changes, I want to verify it before depending on the app." (C04, Phase 2, L157)	The future change scenario is hypothetical.
Accountability returns at unresolved action	Caregivers remain responsible when a prompt does not establish that the correct medicine was taken.	Verification preserves human authority	Caregivers accept agent coordination that remains selective and accountable	"Less pressure, not less responsibility." (C04, Phase 2, L33)	This contrast binds relief to continued accountability.
Relational care remains human work	The agent can carry timing but cannot replace checking, conversation, supply, and concern.	Verification preserves human authority	Caregivers accept agent coordination that remains selective and accountable	"It reduces the remembering work. The family still does the checking and decisions." (C04, Phase 2, L109)	The claim is supported by concrete task descriptions.
Established routines preserve fallback	Caregivers return to prescriptions and prior routines if the agent stops or becomes unreliable.	Verification preserves human authority	Caregivers accept agent coordination that remains selective and accountable	"I would go back to remembering the times myself like I did before." (C05, Phase 2, L149)	Existing capability bounds dependence claims.
Maintenance burden revokes delegation	Excess alerts or repeated entry return coordination work to caregivers and can end use.	Verification preserves human authority	Caregivers accept agent coordination that remains selective and accountable	"if it becomes too much work to maintain, then we probably won't use it." (C04, Phase 2, L193)	This prospective condition identifies when relief reverses.
