Theme	Theme definition	Sub-theme	What it means	Consequence (leads to next theme)
Medication as Distributed Family Work	In these households medication is not an individual task. The older adult keeps the act of taking and recognises medicine by strip, shelf, and meal; an adult child or spouse holds the names, the prescription, the buying, and the doctor's words; whoever is present reminds, and a family question settles whether a dose was taken. The caregiver's role was never decided, checking is received as care with surveillance as its limit, peers advise and the doctor alone decides. A few older adults manage entirely alone.	Retained Autonomy in Taking, Delegated Knowledge to Kin	Both sides describe the same division. The older adult swallows the tablet and nobody hands it to them; the caregiver holds the names, the paper, the shop, and what the doctor said. Older adults call this relief, caregivers call it help, and neither calls it dependence.	This arrangement runs on presence and habit. It has no record, no way to verify from afar, and no fallback when the people who hold the knowledge are not in the room. Where it breaks is the next theme.
Medication as Distributed Family Work	In these households medication is not an individual task. The older adult keeps the act of taking and recognises medicine by strip, shelf, and meal; an adult child or spouse holds the names, the prescription, the buying, and the doctor's words; whoever is present reminds, and a family question settles whether a dose was taken. The caregiver's role was never decided, checking is received as care with surveillance as its limit, peers advise and the doctor alone decides. A few older adults manage entirely alone.	Recognition by Strip, Place, and Meal Rather Than Name	Recognition replaces reading. Medicines are known by colour and foil, kept in one fixed spot, and tied to tea, breakfast, or dinner. Caregivers confirm they run the household on habit and one shelf, with the paper prescription as the fallback, and nothing written down.	This arrangement runs on presence and habit. It has no record, no way to verify from afar, and no fallback when the people who hold the knowledge are not in the room. Where it breaks is the next theme.
Medication as Distributed Family Work	In these households medication is not an individual task. The older adult keeps the act of taking and recognises medicine by strip, shelf, and meal; an adult child or spouse holds the names, the prescription, the buying, and the doctor's words; whoever is present reminds, and a family question settles whether a dose was taken. The caregiver's role was never decided, checking is received as care with surveillance as its limit, peers advise and the doctor alone decides. A few older adults manage entirely alone.	Shared Reminding by Presence and the Family Question as Verification	Reminding belongs to whoever is near: a spouse, a daughter-in-law, a child who calls, a friend taking his own tablet. Because older adults are often unsure whether they took a dose, and sometimes say yes when they have not, the family's question is the verification the household relies on. The rule on both sides is to ask and never to double.	This arrangement runs on presence and habit. It has no record, no way to verify from afar, and no fallback when the people who hold the knowledge are not in the room. Where it breaks is the next theme.
Medication as Distributed Family Work	In these households medication is not an individual task. The older adult keeps the act of taking and recognises medicine by strip, shelf, and meal; an adult child or spouse holds the names, the prescription, the buying, and the doctor's words; whoever is present reminds, and a family question settles whether a dose was taken. The caregiver's role was never decided, checking is received as care with surveillance as its limit, peers advise and the doctor alone decides. A few older adults manage entirely alone.	An Unplanned and Unreviewed Caregiver Role	Nobody chose who would manage the medicines. The role grew from need and settled on whoever was competent and present, usually a working adult child. Because it was never decided it is never reviewed, and the caregiver has no one to hand it to.	This arrangement runs on presence and habit. It has no record, no way to verify from afar, and no fallback when the people who hold the knowledge are not in the room. Where it breaks is the next theme.
Medication as Distributed Family Work	In these households medication is not an individual task. The older adult keeps the act of taking and recognises medicine by strip, shelf, and meal; an adult child or spouse holds the names, the prescription, the buying, and the doctor's words; whoever is present reminds, and a family question settles whether a dose was taken. The caregiver's role was never decided, checking is received as care with surveillance as its limit, peers advise and the doctor alone decides. A few older adults manage entirely alone.	Checking as Care, Surveillance as Its Limit	A son's or daughter's question is received as safety and help, with an admitted edge of irritation when it is constant. The line is drawn at being watched every dose: tell me about a miss, do not watch me all the time. Caregivers, for their part, refuse to control adults.	This arrangement runs on presence and habit. It has no record, no way to verify from afar, and no fallback when the people who hold the knowledge are not in the room. Where it breaks is the next theme.
Medication as Distributed Family Work	In these households medication is not an individual task. The older adult keeps the act of taking and recognises medicine by strip, shelf, and meal; an adult child or spouse holds the names, the prescription, the buying, and the doctor's words; whoever is present reminds, and a family question settles whether a dose was taken. The caregiver's role was never decided, checking is received as care with surveillance as its limit, peers advise and the doctor alone decides. A few older adults manage entirely alone.	Peer Experience as Advice, the Doctor as Authority	Tea shops, walks, and gatherings are full of medicine talk, and agreement among many makes a medicine feel tested. Older adults take the name to their child or doctor and never change alone; caregivers admit the pull on themselves and block it for their parents. The doctor is the only gate on change.	This arrangement runs on presence and habit. It has no record, no way to verify from afar, and no fallback when the people who hold the knowledge are not in the room. Where it breaks is the next theme.
Medication as Distributed Family Work	In these households medication is not an individual task. The older adult keeps the act of taking and recognises medicine by strip, shelf, and meal; an adult child or spouse holds the names, the prescription, the buying, and the doctor's words; whoever is present reminds, and a family question settles whether a dose was taken. The caregiver's role was never decided, checking is received as care with surveillance as its limit, peers advise and the doctor alone decides. A few older adults manage entirely alone.	Counter-Case: Independent Self-Managers	Three men and one woman manage many medicines from memory, the written prescription, or their own notes, miss doses only when stock runs out, and say they need no tool. They bound the family system and the reminder's reach.	This arrangement runs on presence and habit. It has no record, no way to verify from afar, and no fallback when the people who hold the knowledge are not in the room. Where it breaks is the next theme.
Breakdown at a Distance: Where Presence-Based Care Fails	The family system fails exactly when nobody is in the room. Dose time is lost to housework, guests, travel, and field work; when the caregiver is at work, on a trip, or asleep there is no way to know, and a phone yes may be false. When everyone is busy at once a missed dose can end in hospital. Medicine runs out because nobody counts and the older adult cannot go to buy. The older adult resents depending on family for small things; the caregiver carries a standing worry and calls again.	Time Slipping Outside the Home Routine	Nobody describes forgetting as a failing mind. At home, with the strip in view and the family around, the routine carries itself; away from it, in talk, travel, or work without fixed hours, the time goes. Caregivers describe the same lapse from outside: she knows, but the time goes away.	The households reached for tools to cover these gaps. Every tool at hand failed in a specific way, which is the next theme.
Breakdown at a Distance: Where Presence-Based Care Fails	The family system fails exactly when nobody is in the room. Dose time is lost to housework, guests, travel, and field work; when the caregiver is at work, on a trip, or asleep there is no way to know, and a phone yes may be false. When everyone is busy at once a missed dose can end in hospital. Medicine runs out because nobody counts and the older adult cannot go to buy. The older adult resents depending on family for small things; the caregiver carries a standing worry and calls again.	Unverifiable from Afar: No Way to Know and a False Yes	When the caregiver is at work or in another city there is no way to know whether a dose was taken. A phone call returns a yes that is sometimes wrong, so the caregiver either trusts blindly or calls again. Older adults confirm that when family is busy or away nobody asks and they are alone with the routine.	The households reached for tools to cover these gaps. Every tool at hand failed in a specific way, which is the next theme.
Breakdown at a Distance: Where Presence-Based Care Fails	The family system fails exactly when nobody is in the room. Dose time is lost to housework, guests, travel, and field work; when the caregiver is at work, on a trip, or asleep there is no way to know, and a phone yes may be false. When everyone is busy at once a missed dose can end in hospital. Medicine runs out because nobody counts and the older adult cannot go to buy. The older adult resents depending on family for small things; the caregiver carries a standing worry and calls again.	Collective Lapse with Clinical Consequences	The shared check fails on the day nobody is free. A diabetic mother missed her dose at a wedding and fell ill; a father missed a morning dose during a working morning and went to hospital; an older adult describes the whole family being too busy to remember. After such events caregivers stop trusting memory alone.	The households reached for tools to cover these gaps. Every tool at hand failed in a specific way, which is the next theme.
