Theme	Theme definition	Sub-theme	What it means	Boundary or counter-case	RQ and contribution	Consequence (leads to next theme)
Inherited Allegiance: The Agent Enters Family Practice	The agent's allegiance was not decided; it was inherited. Older adults heard it say whom it worked for, granted its request to involve family as an act of trust, and let it become shared through the kin who checked it. Caregivers found it clear, experienced it as their own tool, and in homes where they administer became its first user. Whom it tells, how much, and with whose consent restate the household's own rules.	The Announcement as Legibility, With a Small Cost	Both roles valued the spoken statement of whom the agent served: it made the family's behaviour legible and nothing happened in the background. In front of others it exposes a little, and the older adult wants to be told first.	Six lived grants; consent named by three (P14, C03, C04). Older adults of caregiver-as-principal homes are absent as speakers. No household pairing filed.	RQ2 assignment, gifting; C1, C2 (direction, ceremony)	Because allegiance followed the existing division, what changed was who reminds first, not who cares or decides, the next theme.
Inherited Allegiance: The Agent Enters Family Practice	The agent's allegiance was not decided; it was inherited. Older adults heard it say whom it worked for, granted its request to involve family as an act of trust, and let it become shared through the kin who checked it. Caregivers found it clear, experienced it as their own tool, and in homes where they administer became its first user. Whom it tells, how much, and with whose consent restate the household's own rules.	Granting and Declining as Acts Toward Kin	The grant was trust because nobody hands the tablet; the decline was used to spare kin worry when the record was wrong. Both are moves toward the family, not toward the agent.	Six lived grants; consent named by three (P14, C03, C04). Older adults of caregiver-as-principal homes are absent as speakers. No household pairing filed.	RQ2 assignment, gifting; C1, C2 (direction, ceremony)	Because allegiance followed the existing division, what changed was who reminds first, not who cares or decides, the next theme.
Inherited Allegiance: The Agent Enters Family Practice	The agent's allegiance was not decided; it was inherited. Older adults heard it say whom it worked for, granted its request to involve family as an act of trust, and let it become shared through the kin who checked it. Caregivers found it clear, experienced it as their own tool, and in homes where they administer became its first user. Whom it tells, how much, and with whose consent restate the household's own rules.	Shared Through Kin's Checking; the Caregiver as First Principal	The agent became the household's when kin checked or listened; where a daughter-in-law or granddaughter administers, it reminded her and she welcomed the check.	Six lived grants; consent named by three (P14, C03, C04). Older adults of caregiver-as-principal homes are absent as speakers. No household pairing filed.	RQ2 assignment, gifting; C1, C2 (direction, ceremony)	Because allegiance followed the existing division, what changed was who reminds first, not who cares or decides, the next theme.
Inherited Allegiance: The Agent Enters Family Practice	The agent's allegiance was not decided; it was inherited. Older adults heard it say whom it worked for, granted its request to involve family as an act of trust, and let it become shared through the kin who checked it. Caregivers found it clear, experienced it as their own tool, and in homes where they administer became its first user. Whom it tells, how much, and with whose consent restate the household's own rules.	Direction, Proportion, and Consent	First chance, one kin by knowledge, presence, or role, only for a real miss, silence, or empty stock, and, for three participants, only if the older adult agrees; for the older adult first, then both.	Six lived grants; consent named by three (P14, C03, C04). Older adults of caregiver-as-principal homes are absent as speakers. No household pairing filed.	RQ2 assignment, gifting; C1, C2 (direction, ceremony)	Because allegiance followed the existing division, what changed was who reminds first, not who cares or decides, the next theme.
Relocated Reminding, Retained Care	The first reminder moved to the agent and routine asking fell away, on both sides. Kin still ask, and both roles call that care the agent cannot carry; the caregiver's clock-watching, calling, and worry stopped while responsibility did not. The phone knows only what is entered; the family knows the situation. Self-managers declined a family project.	The First Reminder Moved to the Agent	The phone reminds first; kin ask less for normal doses and again when the agent tells them something; caregivers stop the night-time asking.	Counter-case: P11, P15, P17 refuse family involvement; P17 had no family routine to move.	RQ2 contestation inside care; C1, C3	Because the family's question remained the real check, the agent's record had to yield to the person, the next theme.
Relocated Reminding, Retained Care	The first reminder moved to the agent and routine asking fell away, on both sides. Kin still ask, and both roles call that care the agent cannot carry; the caregiver's clock-watching, calling, and worry stopped while responsibility did not. The phone knows only what is entered; the family knows the situation. Self-managers declined a family project.	Asking as Care, Irritation Included	Older adults hold irritation and care in one sentence; caregivers claim asking after a notification as care; the phone does not know if the older adult has eaten.	Counter-case: P11, P15, P17 refuse family involvement; P17 had no family routine to move.	RQ2 contestation inside care; C1, C3	Because the family's question remained the real check, the agent's record had to yield to the person, the next theme.
Relocated Reminding, Retained Care	The first reminder moved to the agent and routine asking fell away, on both sides. Kin still ask, and both roles call that care the agent cannot carry; the caregiver's clock-watching, calling, and worry stopped while responsibility did not. The phone knows only what is entered; the family knows the situation. Self-managers declined a family project.	Less Pressure, Not Less Responsibility	Caregivers relieved of the clock and the intrusive thought; the family still checks, brings, and decides; the agent helps without taking over.	Counter-case: P11, P15, P17 refuse family involvement; P17 had no family routine to move.	RQ2 contestation inside care; C1, C3	Because the family's question remained the real check, the agent's record had to yield to the person, the next theme.
Relocated Reminding, Retained Care	The first reminder moved to the agent and routine asking fell away, on both sides. Kin still ask, and both roles call that care the agent cannot carry; the caregiver's clock-watching, calling, and worry stopped while responsibility did not. The phone knows only what is entered; the family knows the situation. Self-managers declined a family project.	Counter-Case: Not a Family Project	Self-managing older adults keep reminders with themselves and decline family alerts.	Counter-case: P11, P15, P17 refuse family involvement; P17 had no family routine to move.	RQ2 contestation inside care; C1, C3	Because the family's question remained the real check, the agent's record had to yield to the person, the next theme.
Person Over Record, Doctor Over Agent	Both roles hold the agent's record below the person and its authority below the doctor. Silence means busy or a forgotten press and a person checks first; a false alarm is the failure. Described pushback was accepted only in principle for a mechanism not built. The doctor and the prescription decide, a wrong reminder can be stopped, mismatches were checked, and after a change the agent was wrong until someone updated it and told everyone why.	Silence as Busyness, the Record Below the Act	No answer means busy, deferred, unheard, or taken and not pressed; caregivers now treat no confirmation as a signal to check, not a verdict; a false alarm worries everyone for nothing.	M07 believed-capability throughout. Two lived stale-schedule episodes (P10, P11); one lived mismatch (C03).	RQ2 revocation; RQ3 tool role, revocability, visibility, ceremony; C2, C3	With the agent bounded to reminding, current only through its human updater, and open about its changes, its outcomes are relational and small, the last theme.
Person Over Record, Doctor Over Agent	Both roles hold the agent's record below the person and its authority below the doctor. Silence means busy or a forgotten press and a person checks first; a false alarm is the failure. Described pushback was accepted only in principle for a mechanism not built. The doctor and the prescription decide, a wrong reminder can be stopped, mismatches were checked, and after a change the agent was wrong until someone updated it and told everyone why.	Described Pushback Accepted in Principle (Believed-Capability)	Irritation at re-asking after a no, then acceptance for medicine; reasoning about a described design, never use.	M07 believed-capability throughout. Two lived stale-schedule episodes (P10, P11); one lived mismatch (C03).	RQ2 revocation; RQ3 tool role, revocability, visibility, ceremony; C2, C3	With the agent bounded to reminding, current only through its human updater, and open about its changes, its outcomes are relational and small, the last theme.
Person Over Record, Doctor Over Agent	Both roles hold the agent's record below the person and its authority below the doctor. Silence means busy or a forgotten press and a person checks first; a false alarm is the failure. Described pushback was accepted only in principle for a mechanism not built. The doctor and the prescription decide, a wrong reminder can be stopped, mismatches were checked, and after a change the agent was wrong until someone updated it and told everyone why.	The Doctor Decides; A Wrong Reminder Can Be Stopped	The prescription or notes are the authority; the agent reminds what was decided, may report a difference, a person confirms; mismatches were checked.	M07 believed-capability throughout. Two lived stale-schedule episodes (P10, P11); one lived mismatch (C03).	RQ2 revocation; RQ3 tool role, revocability, visibility, ceremony; C2, C3	With the agent bounded to reminding, current only through its human updater, and open about its changes, its outcomes are relational and small, the last theme.
Person Over Record, Doctor Over Agent	Both roles hold the agent's record below the person and its authority below the doctor. Silence means busy or a forgotten press and a person checks first; a false alarm is the failure. Described pushback was accepted only in principle for a mechanism not built. The doctor and the prescription decide, a wrong reminder can be stopped, mismatches were checked, and after a change the agent was wrong until someone updated it and told everyone why.	Knowledge Only as Current as Its Updater; Change Told to Everyone	Stale schedules kept reminding until updated; a change must reach the household and the agent with what changed and why; a warning must explain.	M07 believed-capability throughout. Two lived stale-schedule episodes (P10, P11); one lived mismatch (C03).	RQ2 revocation; RQ3 tool role, revocability, visibility, ceremony; C2, C3	With the agent bounded to reminding, current only through its human updater, and open about its changes, its outcomes are relational and small, the last theme.
Relational Outcomes and Borrowed Trust	The deployment's outcomes were small and relational. The streak became a family topic whose sting the family absorbed, more often read as something to check than to lose, shared for encouragement and never outside the family. Trust was earned by testing against routine, alarm, notes, or prescription, and borrowed from the kin who set it or the parent who responded. Memory was reinforced, not replaced. The agent's register is a voice with the name; its limits are wrong information, noise, and extra work; its useful advocacy includes stock.	The Streak as a Family Object	Noticed and praised by kin; a break made small by family; a changed count read as something to check; medicine not a game; family may see, nobody outside.	Shared scores and probationary mode were not built. P13 still forgets. The caregiver as the streak's subject is C06 only.	RQ3 outcomes and mechanisms; C3	These outcomes fix the terms for the next prototype and answer the deployment half of RQ3.
Relational Outcomes and Borrowed Trust	The deployment's outcomes were small and relational. The streak became a family topic whose sting the family absorbed, more often read as something to check than to lose, shared for encouragement and never outside the family. Trust was earned by testing against routine, alarm, notes, or prescription, and borrowed from the kin who set it or the parent who responded. Memory was reinforced, not replaced. The agent's register is a voice with the name; its limits are wrong information, noise, and extra work; its useful advocacy includes stock.	Trust by Testing and Through Kin	Both roles compared the reminders with what they already held before depending on them; older adults trusted through the child who set it, caregivers through the parent's response.	Shared scores and probationary mode were not built. P13 still forgets. The caregiver as the streak's subject is C06 only.	RQ3 outcomes and mechanisms; C3	These outcomes fix the terms for the next prototype and answer the deployment half of RQ3.
Relational Outcomes and Borrowed Trust	The deployment's outcomes were small and relational. The streak became a family topic whose sting the family absorbed, more often read as something to check than to lose, shared for encouragement and never outside the family. Trust was earned by testing against routine, alarm, notes, or prescription, and borrowed from the kin who set it or the parent who responded. Memory was reinforced, not replaced. The agent's register is a voice with the name; its limits are wrong information, noise, and extra work; its useful advocacy includes stock.	A Second Memory, Not a Replacement	Timing reinforced and anticipated; people still know and some still forget; the caregiver sees the parent expecting the reminder.	Shared scores and probationary mode were not built. P13 still forgets. The caregiver as the streak's subject is C06 only.	RQ3 outcomes and mechanisms; C3	These outcomes fix the terms for the next prototype and answer the deployment half of RQ3.
Relational Outcomes and Borrowed Trust	The deployment's outcomes were small and relational. The streak became a family topic whose sting the family absorbed, more often read as something to check than to lose, shared for encouragement and never outside the family. Trust was earned by testing against routine, alarm, notes, or prescription, and borrowed from the kin who set it or the parent who responded. Memory was reinforced, not replaced. The agent's register is a voice with the name; its limits are wrong information, noise, and extra work; its useful advocacy includes stock.	Register and Limits: Voice, Stock, No Extra Work	Voice with the name for non-readers; a warning before medicine runs out; wrong information, noise, or another job ends use.	Shared scores and probationary mode were not built. P13 still forgets. The caregiver as the streak's subject is C06 only.	RQ3 outcomes and mechanisms; C3	These outcomes fix the terms for the next prototype and answer the deployment half of RQ3.
